"","x$Date","WSEmax","VOLUME","lag","vol_chg","inflow"
"123",2018-03-08,121.84,10105.7320575714,10338.8450679779,-233.113010406494,0
"124",2018-03-09,121.84,10105.7320575714,10105.7320575714,0,0
"125",2018-03-10,121.84,10105.7320575714,10105.7320575714,0,0
"126",2018-03-11,121.83,9874.15048027039,10105.7320575714,-231.581577301025,0
"127",2018-03-12,121.83,9874.15048027039,9874.15048027039,0,0
"128",2018-03-13,121.86,10573.2529449463,9874.15048027039,699.102464675903,0.00809146371152666
"129",2018-03-14,121.86,10573.2529449463,10573.2529449463,0,0
"130",2018-03-15,121.86,10573.2529449463,10573.2529449463,0,0
"131",2018-03-16,121.87,10808.8109302521,10573.2529449463,235.557985305786,0.00272636557066882
"132",2018-03-17,121.87,10808.8109302521,10808.8109302521,0,0
"133",2018-03-18,121.87,10808.8109302521,10808.8109302521,0,0
"134",2018-03-19,121.87,10808.8109302521,10808.8109302521,0,0
"135",2018-03-20,121.86,10573.2529449463,10808.8109302521,-235.557985305786,0
"136",2018-03-21,121.88,11045.8146629333,10573.2529449463,472.561717987061,0.00546946432855394
"137",2018-03-22,122.43,25777.5484428406,11045.8146629333,14731.7337799072,0.170506178008185
"138",2018-03-23,122.44,26074.7932987213,25777.5484428406,297.244855880737,0.00344033398010113
"139",2018-03-24,122.45,26372.9094734192,26074.7932987213,298.116174697876,0.00345041868863282
"140",2018-03-25,122.45,26372.9094734192,26372.9094734192,0,0
"141",2018-03-26,122.45,26372.9094734192,26372.9094734192,0,0
"142",2018-03-27,122.45,26372.9094734192,26372.9094734192,0,0
"143",2018-03-28,122.45,26372.9094734192,26372.9094734192,0,0
"144",2018-03-29,122.44,26074.7932987213,26372.9094734192,-298.116174697876,0
"145",2018-03-30,122.44,26074.7932987213,26074.7932987213,0,0
"146",2018-03-31,122.44,26074.7932987213,26074.7932987213,0,0
"147",2018-04-01,122.43,25777.5484428406,26074.7932987213,-297.244855880737,0
"148",2018-04-02,122.43,25777.5484428406,25777.5484428406,0,0
"149",2018-04-03,122.42,25481.3992900848,25777.5484428406,-296.149152755737,0
"150",2018-04-04,122.42,25481.3992900848,25481.3992900848,0,0
"151",2018-04-05,122.42,25481.3992900848,25481.3992900848,0,0
"152",2018-04-06,122.43,25777.5484428406,25481.3992900848,296.149152755737,0.00342765223096918
"153",2018-04-07,122.52,28490.6258640289,25777.5484428406,2713.07742118835,0.0314013590415319
"154",2018-04-08,122.52,28490.6258640289,28490.6258640289,0,0
"155",2018-04-09,122.52,28490.6258640289,28490.6258640289,0,0
"156",2018-04-10,122.51,28185.1500701904,28490.6258640289,-305.475793838501,0
"157",2018-04-11,122.51,28185.1500701904,28185.1500701904,0,0
"158",2018-04-12,122.5,27880.4629116058,28185.1500701904,-304.687158584595,0
"159",2018-04-13,122.49,27576.8142528534,27880.4629116058,-303.648658752441,0
"160",2018-04-14,122.49,27576.8142528534,27576.8142528534,0,0
"161",2018-04-15,122.48,27274.1887779236,27576.8142528534,-302.62547492981,0
"162",2018-04-16,122.49,27576.8142528534,27274.1887779236,302.62547492981,0.00350260966353946
"163",2018-04-17,122.49,27576.8142528534,27576.8142528534,0,0
"164",2018-04-18,122.48,27274.1887779236,27576.8142528534,-302.62547492981,0
"165",2018-04-19,122.48,27274.1887779236,27274.1887779236,0,0
"166",2018-04-20,122.47,26972.8520736694,27274.1887779236,-301.33670425415,0
"167",2018-04-21,122.47,26972.8520736694,26972.8520736694,0,0
"168",2018-04-22,122.46,26672.3738365173,26972.8520736694,-300.4782371521,0
"169",2018-04-23,122.46,26672.3738365173,26672.3738365173,0,0
"170",2018-04-24,122.45,26372.9094734192,26672.3738365173,-299.464363098145,0
"171",2018-04-25,122.45,26372.9094734192,26372.9094734192,0,0
"172",2018-04-26,122.44,26074.7932987213,26372.9094734192,-298.116174697876,0
